Record ID,Company name,Company Domain Name,Website URL,Industry,Phone Number,City,Country/Region
91587957,VisitDenmark,visitdenmark.dk,636276.emptydomain.dk,Recreational Facilities and Services, +45 98 25 21 21,København S,Denmark
462527378,Phoenix Retail,http://www.phoenixgroup.eu,http://www.phoenixgroup.eu,Pharmaceuticals,49-621-85050,Mannheim,Germany
554049804,Renault Poland,renault.pl,renault.pl,Automotive,48 22 541 1300,Warszawa,Poland
525934422,EXCELCIA LIMITED,http://www.excelcialtd.com/,http://www.excelcialtd.com/,Wholesale, +44 20 8961 3996,London,United Kingdom
226364780,Permild & Rosengreen,permild-rosengreen.dk,permild-rosengreen.dk,Arts and Crafts,56147672,Frederiksberg C,Denmark
284954856,Cavex Holland bv,cavex.nl,cavex.nl,Medical Devices, +31 23 530 77 00,Haarlem,Netherlands
403773447,euronail.de,euronail.de,euronail.de,Cosmetics,,,Germany
2470450006,neopunkt.pl,neopunkt.pl,neopunkt.pl,Consumer Electronics, +48 71 38-85-600,,Poland
746728607,Volkswagen,volkswagen.de,volkswagen.de,Automotive, +49 800 8655792436,Hann. Münden,Germany
2164687131,Stosa Cucine,en.stosacucine.com,en.stosacucine.com,Furniture, +39 0578 5711,Radicofani,Italy
60588931,Aagaard / Kranz & Ziegler A/S,byaagaard.com,k-z.dk,Apparel & Fashion, +45 70276600,Svendborg,Denmark
7039296397,SGRE,siemensgamesa.com,siemensgamesa.com,Renewables & Environment, +34 944 03 73 52,Derio,denmark
404166709,UAB RŪTA,http://ruta.lt,http://ruta.lt,Food Production, +370 41 52 20 45,Šiauliai ,Lithuania
60588991,Boxit Design,boxit-design.com,boxit-design.com,Consumer Electronics, +45 24 60 60 74,Kvistgaard,Denmark
60588986,Dolle A/S,dolle.dk,dolle.dk,Building Materials, +45 97 99 14 22,Aalborg SV,Denmark
345838778,Husqvarna Group DK,http://www.husqvarna.com/dk/,http://www.husqvarna.com/dk/,Mechanical or Industrial Engineering, +45 70 26 47 70,Værløse,Denmark
2164654369,Total Teamwear UK,totalteamwearuk.com,totalteamwearuk.com,Apparel & Fashion,,Alway,United Kingdom
2325973636,Cressi Sub,cressi.com,cressi.com,Luxury Goods & Jewelry, +39 010 830791,Genova,Italy
60588981,Full House A/S,fullhouse.dk,fullhouse.dk,Wholesale, +45 33 23 00 19,København V,Denmark
658122512,vabene,vabene.se,vabene.se,Furniture,,London ,Sweden
1707795936,Frustock,frustock.pt,frustock.pt,Food & Beverages, +351 214 609 400 ,,Portugal
228494773,Kakeldaxgruppen,kakeldaxgruppen.se,kakeldaxgruppen.se,Retail, +46 31 719 78 00 ,Hisings Kärra,Sweden
1076576263,Denios SE,denios.de,denios.de,Chemicals, +49 05731 753-0,Bad Oeynhausen,Germany
258379593,QHair,http://www.qhair.dk/,http://www.qhair.dk/,Consumer Services, + 45 44 94 34 00,Rødovre,Denmark
9915780916,szymon.kobylinski@sanpol.pl,sanpol.pl,sanpol.pl,Retail, +48 61 874 68 00,Tarnowo Podgórne,Poland
243732145,Betten Star,betten-star.de,betten-star.de,Furniture, +49 228 6291862,Bonn,Germany
60588971,emdrupvej28a.dk,emdrupvej28a.dk,emdrupvej28a.dk,,,,Denmark
9406066845,Fibertex Personal Care,fibertexpersonalcare.com,fibertexpersonalcare.com,Textiles,,Aalborg,denmark
60588961,Fredericia,fredericia.dk,fredericia.dk,Government Administration,,Fredericia,Denmark
